scraped_at_utc,last_updated_at,live_ticking_avg,yesterday_final_avg,one_week_ago_avg,one_month_ago_avg,one_year_ago_avg,live_vs_yesterday,today_trend
2026-04-29T17:19:05,2026-04-29T13:15:02.9966667,4.255,4.231,4.017,3.951,3.165,0.024,3
2026-04-29T18:54:16,2026-04-29T14:50:01.3633333,4.258,4.231,4.017,3.951,3.165,0.027,3
2026-04-29T20:07:04,2026-04-29T16:05:00.6,4.265,4.231,4.017,3.951,3.165,0.034,3
2026-04-29T21:37:47,2026-04-29T17:35:00.7333333,4.261,4.231,4.017,3.951,3.165,0.03,3
2026-04-29T22:49:21,2026-04-29T18:45:00.8866667,4.281,4.231,4.017,3.951,3.165,0.05,3
2026-04-29T23:45:16,2026-04-29T19:45:01.0166667,4.289,4.231,4.017,3.951,3.165,0.058,3
2026-04-30T02:06:33,2026-04-29T22:05:00.28,4.304,4.231,4.017,3.951,3.165,0.073,3
2026-04-30T05:43:00,2026-04-30T01:40:08.92,4.305,4.231,4.017,3.951,3.165,0.074,3
2026-04-30T08:06:21,2026-04-30T04:05:01.02,4.313,4.231,4.017,3.951,3.165,0.082,1
2026-04-30T10:22:13,2026-04-30T06:20:00.26,4.308,4.231,4.017,3.951,3.165,0.077,3
2026-04-30T11:56:34,2026-04-30T07:55:00.4366667,4.312,4.305,4.048,4.008,3.176,0.007,3
2026-04-30T13:45:02,2026-04-30T09:45:00.65,4.321,4.305,4.048,4.008,3.176,0.016,3
2026-04-30T15:44:22,2026-04-30T11:40:00.8866667,4.341,4.305,4.048,4.008,3.176,0.036,3
2026-04-30T17:10:16,2026-04-30T13:10:02.79,4.358,4.305,4.048,4.008,3.176,0.053,3
2026-04-30T18:50:22,2026-04-30T14:50:00.2266667,4.366,4.305,4.048,4.008,3.176,0.061,3
2026-04-30T20:05:48,2026-04-30T16:05:00.3966667,4.372,4.305,4.048,4.008,3.176,0.067,3
2026-04-30T21:31:16,2026-04-30T17:30:00.5666667,4.394,4.305,4.048,4.008,3.176,0.089,3
2026-04-30T22:43:10,2026-04-30T18:40:00.6933333,4.406,4.305,4.048,4.008,3.176,0.101,3
2026-04-30T23:43:28,2026-04-30T19:40:00.83,4.407,4.305,4.048,4.008,3.176,0.102,3
2026-05-01T02:10:44,2026-04-30T22:10:00.23,4.416,4.305,4.048,4.008,3.176,0.111,3
2026-05-01T05:51:58,2026-05-01T01:50:01.6433333,4.412,4.305,4.048,4.008,3.176,0.107,3
2026-05-01T08:03:11,2026-05-01T04:00:00.3433333,4.417,4.305,4.048,4.008,3.176,0.112,1
2026-05-01T10:01:17,2026-05-01T06:00:00.5466667,4.412,4.305,4.048,4.008,3.176,0.107,3
2026-05-01T11:36:21,2026-05-01T07:35:00.6966667,4.412,4.412,4.068,4.084,3.172,0.0,3
2026-05-01T12:58:46,2026-05-01T08:55:00.8366667,4.413,4.412,4.068,4.084,3.172,0.001,3
2026-05-01T14:17:33,2026-05-01T10:15:00.97,4.423,4.412,4.068,4.084,3.172,0.011,3
2026-05-01T15:31:31,2026-05-01T11:30:01.0933333,4.426,4.412,4.068,4.084,3.172,0.014,3
2026-05-01T16:45:40,2026-05-01T12:45:01.8166667,4.431,4.412,4.068,4.084,3.172,0.019,3
2026-05-01T17:52:05,2026-05-01T13:50:00.5333333,4.429,4.412,4.068,4.084,3.172,0.017,3
2026-05-01T18:59:13,2026-05-01T14:55:00.7,4.43,4.412,4.068,4.084,3.172,0.018,3
2026-05-01T20:05:34,2026-05-01T16:05:01.3233333,4.432,4.412,4.068,4.084,3.172,0.02,3
